20,001019,Universitas Brawijaya,Prov. Jawa Timur,Negeri,Aktif,2.100,67.592,1 : 32.2,2.100,65.366,1 : 31.1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OTlBM0I3QUYtNjQ3MC00RDE4LThCMDYtMDk5NDFFNjYzQjA3
21,001020,Universitas Jambi,Prov. Jambi,Negeri,Aktif,997,35.965,1 : 36.1,997,16.706,1 : 16.8,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NDg3MTU0NjktQzE2NS00ODJELUI3QkYtODdCOEEyNjhFNUEz
22,001021,Universitas Pattimura,Prov. Maluku,Negeri,Aktif,1.154,18.048,1 : 15.6,1.154,486,1 : 0.4,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NEU5QUY4MUQtRjczNy00N0RBLTkyRkMtRDJBRTAyNEE5QzM0
23,001022,Universitas Tanjungpura,Prov. Kalimantan Barat,Negeri,Aktif,1.048,43.183,1 : 41.2,1.048,45.052,1 : 43,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RUYyQTU1QjctMUNCOC00MEZDLThEMzctQjExMDQ0MEU0MjVF
24,001023,Universitas Jenderal Soedirman,Prov. Jawa Tengah,Negeri,Aktif,1.184,22.901,1 : 19.3,1.184,93,1 : 0.1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MzZBQjRBN0EtMEY3OS00RjZDLTkwNkMtQzMwQTU2MEZCNDQ4
25,001024,Universitas Palangka Raya,Prov. Kalimantan Tengah,Negeri,Aktif,789,18.496,1 : 23.4,789,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NThGQ0ZFN0EtQjBEMy00Rjc1LTkwOTktNEVDRjg0MUYzOEVB
26,001025,Universitas Jember,Prov. Jawa Timur,Negeri,Aktif,1.204,32.076,1 : 26.6,1.204,34.351,1 : 28.5,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Qjk1MDdGQUItMjg3NC00RENELTlDMzctNEM5MjFDMjMxMjEw
27,001026,Universitas Lampung,Prov. Lampung,Negeri,Aktif,1.453,25.769,1 : 17.7,1.453,25.408,1 : 17.5,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RTJCNzA1QTctMTczRS00NjRBLTlGQUMtNTA5MTI4NzA5NTE1
28,001027,Universitas Sebelas Maret,Prov. Jawa Tengah,Negeri,Aktif,1.686,37.488,1 : 22.2,1.686,38.800,1 : 23,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NUJGM0FDMUQtMzZGNC00MzM4LUFDMEUtMTA2RDY5N0MzMzAx
29,001028,Universitas Tadulako,Prov. Sulawesi Tengah,Negeri,Aktif,1.475,36.448,1 : 24.7,1.475,3.832,1 : 2.6,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OEU1RDE5NUEtMDAzNS00MUFBLUFGRUYtREI3MTVBMzdCOERB
30,001029,Universitas Halu Oleo,Prov. Sulawesi Tenggara,Negeri,Aktif,1.474,50.435,1 : 34.2,1.474,107,1 : 0.1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OTBDQzA2QTktODNFNC00REQ4LTlCMDYtRThEMjA1QTBEOUYw
31,001030,Universitas Bengkulu,Prov. Bengkulu,Negeri,Aktif,912,23.704,1 : 26,912,5.131,1 : 5.6,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Nzc2MEYyNDMtOUI3Ri00Njk5LThGRjMtRjlBNkFCQTE3NEI3
32,001031,Universitas Terbuka,Prov. Banten,Negeri,Aktif,689,1.019.328,1 : 1479.4,689,1.042.017,1 : 1512.4,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MEY0NjBGOTctNkQ0Ny00RDk2LThBMkEtNDM2MUVBMDRGM0U4
33,001032,Universitas Negeri Padang,Prov. Sumatera Barat,Negeri,Aktif,1.255,46.385,1 : 37,1.255,1,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MTc4NEI5MjctMzQ3QS00MjVELThEQ0YtN0NFOEZENEUwMDAy
34,001033,Universitas Negeri Malang,Prov. Jawa Timur,Negeri,Aktif,1.085,38.426,1 : 35.4,1.085,6.976,1 : 6.4,https://forlap.ristekdikti.go.id/perguruantinggi/detail/N0FDNTEyNjUtRUNDMi00NEQ3LThGQjItNzE3RDNDRjFBQkM1
35,001034,Universitas Pendidikan Indonesia,Prov. Jawa Barat,Negeri,Aktif,1.293,34.808,1 : 26.9,1.293,20,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QkNGNjNCMDctRTcwMi00OTA3LTk2MjEtMjFERDdBRUY3NEI0
36,001035,Universitas Negeri Manado,Prov. Sulawesi Utara,Negeri,Aktif,827,19.090,1 : 23.1,827,4,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RTM0NzU2MjItRDk2NS00NkJBLTg2QTYtM0I4RjhGOEM1MkU3
37,001036,Universitas Negeri Makassar,Prov. Sulawesi Selatan,Negeri,Aktif,997,28.869,1 : 29,997,36,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QzZFQUQwN0UtNDMzRi00Q0U4LTk5MkUtNDFBNTBGMkM3MThB
38,001037,Universitas Negeri Jakarta,Prov. D.K.I. Jakarta,Negeri,Aktif,971,31.802,1 : 32.8,971,21.206,1 : 21.8,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NTJERDQ0MTEtREREMC00RkU2LUI1RUMtRjZGMzY3REJDRjk3
39,001038,Universitas Negeri Yogyakarta,Prov. D.I. Yogyakarta,Negeri,Aktif,1.087,28.394,1 : 26.1,1.087,26.106,1 : 24,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QTA0QUFGRjgtNUY4MS00NzU2LUI5MTQtNzNEQ0ZFRDMzOTMy
40,001039,Universitas Negeri Surabaya,Prov. Jawa Timur,Negeri,Aktif,999,31.366,1 : 31.4,999,5.225,1 : 5.2,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0IxMTU0QjQtMTBCQS00NzEyLUI5MTYtMzYwNTFCQTdDMzJG
41,001040,Universitas Negeri Medan,Prov. Sumatera Utara,Negeri,Aktif,934,31.609,1 : 33.8,934,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RkE4M0E5RkYtNzRCMi00OTM4LTg1NEEtMEY0OTE1RDVBNDFE
42,001041,Universitas Negeri Semarang,Prov. Jawa Tengah,Negeri,Aktif,1.158,31.392,1 : 27.1,1.158,27.414,1 : 23.7,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QTU4NTg4QTgtMEY1Mi00RDRELThBQTgtRjgzMjc4QTU2NTU5
43,001042,Universitas Sultan Ageng Tirtayasa,Prov. Banten,Negeri,Aktif,763,24.140,1 : 31.6,763,16.952,1 : 22.2,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MkEwREM5RUItMzkyNS00RDY4LTk1NDMtMUYyQjhFREJENUVG
44,001043,Universitas Trunojoyo,Prov. Jawa Timur,Negeri,Aktif,478,14.972,1 : 31.3,478,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Mzk0M0I2QUEtQzJDQy00QkVDLTgxRkItNTg0OTQ3RjkwRTU5
45,001044,Universitas Khairun,Prov. Maluku Utara,Negeri,Aktif,626,20.691,1 : 33.1,626,15.003,1 : 24,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RjhFM0UyMTMtQTIxRC00MzE4LUFGNjMtQzlCRTRFNkRENzVF
46,001045,Universitas Papua,Prov. Papua Barat,Negeri,Aktif,517,15.639,1 : 30.2,517,14.083,1 : 27.2,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MTA0ODVDQ0UtMjg0OC00QjAwLUIwQzAtMDFEM0I4RDBENTA0
47,001046,Universitas Malikussaleh,Prov. Aceh,Negeri,Aktif,587,21.528,1 : 36.7,587,9.569,1 : 16.3,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MjBCOUI4OEYtODVGMi00Mzc4LUJDNkYtNzlFNTlBNDE5NEE3
48,001047,Universitas Negeri Gorontalo,Prov. Gorontalo,Negeri,Aktif,735,28.862,1 : 39.3,735,9.728,1 : 13.2,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MjAxRDE1QjMtMEY1OC00QThBLUFGRUUtMkFEQjVBQTRBQjlE
49,001048,Universitas Pendidikan Ganesha,Prov. Bali,Negeri,Aktif,504,13.681,1 : 27.1,504,128,1 : 0.3,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QzI5RkIzOTEtRDBCQS00RTQyLUIyQkMtRkM4OUNCNEFEM0ZF
50,001049,Universitas Bangka Belitung,Prov. Bangka Belitung,Negeri,Aktif,196,4.503,1 : 23,196,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RjM3QkI5N0UtQUIyRi00OEFCLUIxOTgtN0FBOTNBQzkzNUVB
51,001050,Universitas Borneo Tarakan,Prov. Kalimantan Utara,Negeri,Aktif,312,6.684,1 : 21.4,312,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QkNCRTQxRjMtQzM1Qi00NTkxLThDMjAtOTg5NzExREREMDRE
52,001051,Universitas Musamus Merauke,Prov. Papua,Negeri,Aktif,329,9.339,1 : 28.4,329,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/M0M3NjMwRTYtOEE0Ny00QzcxLTkyQUItNDdERkRDMUMyQkJG
53,001052,Universitas Maritim Raja Ali Haji (UMRAH),Prov. Kepulauan Riau,Negeri,Aktif,195,754,1 : 3.9,195,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NzI3QkM4QzItM0MxNy00RUY1LUE2OUMtRTEyQTFGRUZBNzYz
54,001053,Universitas Samudra,Prov. Aceh,Negeri,Aktif,298,8.671,1 : 29.1,298,8.926,1 : 30,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RjFDRDAzRDQtNDI5Ni00RDgzLTg4RDUtNzNGRDVFQkM3REI2
55,001054,Universitas Sulawesi Barat,Prov. Sulawesi Barat,Negeri,Aktif,350,8.065,1 : 23,350,288,1 : 0.8,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MDgwMzk1N0QtN0IxMy00RjU3LTk5RjgtMjM2QzQ5QzY4NDU3
56,001055,Universitas Sembilanbelas November Kolaka,Prov. Sulawesi Tenggara,Negeri,Aktif,260,10.135,1 : 39,260,4,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MzhFRTFBMjgtMDJEQi00QjcxLTk0OUEtRkM3RDBEMDUyOUY0
57,001056,Universitas Tidar,Prov. Jawa Tengah,Negeri,Aktif,245,5.897,1 : 24.1,245,1,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NEVCN0Q5QzAtNzI3MC00MkE1LTk2RjMtRjA2N0QwNDRGMDgz
58,001057,Universitas Siliwangi,Prov. Jawa Barat,Negeri,Aktif,400,13.807,1 : 34.5,400,383,1 : 1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OEI0N0U4MEEtM0E0Mi00NDEyLUJERjItN0U1Rjg1M0EwNzE3
59,001058,Universitas Teuku Umar,Prov. Aceh,Negeri,Aktif,279,6.741,1 : 24.2,279,7.282,1 : 26.1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MjVEOUMzQjUtOUIwRi00RERELUI2MzAtMzc3NjBBRDJFRDFB
60,001059,Universitas Pembangunan Nasional Veteran Jawa Timur,Prov. Jawa Timur,Negeri,Aktif,404,31.838,1 : 78.8,404,9.373,1 : 23.2,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MEEyNDI0QkItQjRCNy00NTQyLUEwNUUtODUxMzJGRDNCMjc2
61,001060,Universitas Timor,Prov. Nusa Tenggara Timur,Negeri,Aktif,240,9.562,1 : 39.8,240,655,1 : 2.7,https://forlap.ristekdikti.go.id/perguruantinggi/detail/M0RDRkEyNjAtNDVDRi00NEE5LTlFQTMtRTA2NkZBQ0QzQjYw
62,001061,Universitas Pembangunan Nasional Veteran Jakarta,Prov. D.K.I. Jakarta,Negeri,Aktif,431,12.521,1 : 29.1,431,1,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QjNCNzc5NkYtQTg0Qi00Q0RFLUEwQkYtODI0RkNDN0VEQjAy
63,001062,Universitas Pembangunan Nasional Veteran Yogyakarta,Prov. D.I. Yogyakarta,Negeri,Aktif,500,9.613,1 : 19.2,500,1.812,1 : 3.6,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RDhEQkQ2MkUtNEJENS00NjRBLTgzRTEtOTBDNTQyQTkzN0M1
64,001063,Universitas Singaperbangsa Karawang,Prov. Jawa Barat,Negeri,Aktif,501,18.584,1 : 37.1,501,9.022,1 : 18,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QzRENDE1QjMtOTgyRS00MDM0LUIyOUEtRUU5NDA4MDY4MUEw
65,002001,Institut Teknologi Bandung,Prov. Jawa Barat,Negeri,Aktif,1.512,17.787,1 : 11.8,1.512,16.516,1 : 10.9,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QTFFOEMzNTYtNDhFRi00ODcxLUFGM0UtODUwNzk0NDNGOTUy
66,002002,Institut Teknologi Sepuluh Nopember,Prov. Jawa Timur,Negeri,Aktif,987,22.549,1 : 22.8,987,16.359,1 : 16.6,https://forlap.ristekdikti.go.id/perguruantinggi/detail/ODlDODJEQTMtN0IyOC00MzA1LTgyQzQtMzQ3REFFMDQyODQ3
67,002003,Institut Pertanian Bogor,Prov. Jawa Barat,Negeri,Aktif,1.376,31.221,1 : 22.7,1.376,6.932,1 : 5,https://forlap.ristekdikti.go.id/perguruantinggi/detail/ODI4RkI5NjYtMzczMy00MzBFLTg2RkYtOTA5Qjc2NEUyNTIz
68,002005,Institut Seni Indonesia Yogyakarta,Prov. D.I. Yogyakarta,Negeri,Aktif,293,5.555,1 : 19,293,732,1 : 2.5,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MjJCNzAwQjItNzFBRS00QjA2LTgzQjItMkEyMTAwNjQ1NTA5
69,002007,Institut Seni Indonesia Denpasar,Prov. Bali,Negeri,Aktif,211,2.203,1 : 10.4,211,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QzIwMTc0MjMtMjYzQS00MEVFLUI5QjAtRUExQzg0Nzg3Mzc1
70,002008,Institut Seni Indonesia Surakarta,Prov. Jawa Tengah,Negeri,Aktif,221,5.674,1 : 25.7,221,8,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NDE4NDE4QjctNUIzOC00MjU0LUEyQ0UtRjlBRjY1RTNDQzJE
71,002009,Institut Seni Indonesia Padang Panjang,Prov. Sumatera Barat,Negeri,Aktif,232,2.459,1 : 10.6,232,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OEM4QkQ4M0UtM0RFMi00MEU5LUEzM0MtOEYzNjk4MTM2RjU5
72,002010,Institut Seni Budaya Indonesia Bandung,Prov. Jawa Barat,Negeri,Aktif,160,578,1 : 3.6,160,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MDhBNUI3NDMtOTM5RC00MTRGLUE3OUEtMDJFRERDQjUyRDhG
73,002011,Institut Seni Budaya Indonesia Aceh,Prov. Aceh,Negeri,Aktif,56,343,1 : 6.1,56,307,1 : 5.5,https://forlap.ristekdikti.go.id/perguruantinggi/detail/REQ4RDMxNUUtQTk1MC00NjQyLTgwQTMtNDNENDAyMzk5MkRB
74,002012,Institut Seni Budaya Indonesia Tanah Papua,Prov. Papua,Negeri,Aktif,6,0,1 : 0,6,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MDY5MTIwRDMtMUZGNi00MTBCLTlDNjItMTM4MDNDMjk5RjZE
75,002013,Institut Teknologi Kalimantan,Prov. Kalimantan Timur,Negeri,Aktif,155,2.624,1 : 16.9,155,3.241,1 : 20.9,https://forlap.ristekdikti.go.id/perguruantinggi/detail/M0M2OTAwRjQtQTgwMS00RjRDLUFCRTEtRDE0ODU1ODlCMDdG
